component,current_km,current_months,condition_metric_value,health_status
Rear Brake Pad,71688.87,9.91,7.02,2
Gearbox Filter,14041.68,11.23,6.1,0
Gearbox Filter,54100.35,50.98,2.16,2
Ignition Coil,129959.78,101.36,0.01,2
Gearbox,2751.07,2.74,47.23,0
Gearbox,345.94,4.72,35.99,0
Gearbox,14606.33,2.09,8.15,2
Front Brake Pad,13477.98,18.51,5.33,0
CVT/AT Oil,51596.42,36.74,54.06,2
Ignition Coil,170799.4,104.29,9.7,2
Spark Plug,1915.95,16.62,1.81,0
Gearbox,1830.57,4.46,3.09,0
Front Brake Pad,26396.59,6.56,6.8,0
Front Brake Pad,35104.59,19.68,1.66,2
Rear Brake Pad,75805.63,24.29,3.56,2
Gearbox,8968.5,8.3,7.96,2
Rear Brake Pad,46875.08,51.9,7.6,2
Gearbox Filter,24421.41,59.67,37.46,2
Gearbox,9105.51,2.48,26.66,1
Gearbox Filter,6709.56,71.06,81.09,2
Gearbox,4402.32,0.13,17.9,0
CVT/AT Oil,47410.53,32.72,111.16,2
Ignition Coil,20856.43,93.22,7.48,2
Ignition Coil,17173.82,40.05,8.03,2
Gearbox Filter,65664.56,45.9,93.16,2
Spark Plug,45951.22,69.96,6.37,2
Gearbox Filter,50514.95,55.51,51.85,2
Spark Plug,85279.55,7.98,3.3,2
CVT/AT Oil,1885.75,34.37,37.72,2
Gearbox,13613.5,2.24,36.93,2
CVT/AT Oil,12183.67,50.91,71.86,2
CVT/AT Oil,9673.28,50.2,96.97,2
Spark Plug,12659.31,32.87,1.64,0
Gearbox,13388.38,4.85,72.67,2
Gearbox,5344.47,8.16,24.49,2
CVT/AT Oil,25626.47,44.17,103.29,2
Rear Brake Pad,14819.03,28.84,4.36,0
Spark Plug,14383.84,24.31,7.07,2
Front Brake Pad,14766.58,20.09,3.63,0
Front Brake Pad,65595.29,34.65,2.27,2
Ignition Coil,128208.71,15.99,11.97,2
CVT/AT Oil,36573.86,27.14,6.18,2
Gearbox Filter,31056.41,45.67,71.47,2
Gearbox Filter,44050.75,70.97,25.42,2
Gearbox,1212.8,3.33,21.79,0
Front Brake Pad,24825.36,22.76,5.7,0
CVT/AT Oil,48985.91,43.11,18.09,2
CVT/AT Oil,11191.11,2.2,70.91,0
CVT/AT Oil,13214.46,38.4,97.14,2
Gearbox,9677.59,1.57,62.18,2
Rear Brake Pad,84305.7,7.43,3.07,2
Spark Plug,25088.59,38.98,5.22,2
Rear Brake Pad,59398.56,44.13,5.0,2
Gearbox,3912.44,8.97,86.89,2
Gearbox Filter,81037.63,45.58,35.6,2
CVT/AT Oil,42021.47,45.72,102.76,2
Front Brake Pad,52641.6,23.11,0.76,2
Gearbox,13478.31,5.46,0.83,2
Front Brake Pad,63459.01,35.05,2.56,2
Front Brake Pad,37039.53,24.91,5.87,2
Spark Plug,21111.03,1.3,3.7,0
Gearbox,5497.03,6.7,64.88,2
Spark Plug,65104.83,36.63,4.77,0
Front Brake Pad,16469.3,35.03,3.54,2
Front Brake Pad,61161.67,15.64,3.15,2
Spark Plug,69228.47,35.46,1.46,0
Gearbox Filter,44927.4,41.18,80.7,2
Spark Plug,119346.06,33.84,2.1,2
Front Brake Pad,24985.71,0.56,8.35,0
Spark Plug,66331.8,41.21,7.35,2
Gearbox,4416.73,3.47,76.6,2
CVT/AT Oil,10169.56,30.07,112.34,0
Ignition Coil,167403.03,7.6,2.51,2
Rear Brake Pad,89104.85,7.56,4.66,2
Ignition Coil,58059.14,91.66,1.64,2
Front Brake Pad,24265.65,10.57,7.28,0
CVT/AT Oil,15372.42,33.02,9.79,2
Rear Brake Pad,45136.47,43.11,5.85,2
Front Brake Pad,53716.01,32.04,3.04,2
Gearbox,8682.97,3.95,60.48,2
CVT/AT Oil,27935.88,29.3,34.38,2
Ignition Coil,154872.83,27.03,0.47,2
Rear Brake Pad,32417.16,6.86,4.7,0
Gearbox Filter,24438.86,69.5,48.01,2
Front Brake Pad,3488.52,19.13,4.87,0
Rear Brake Pad,12451.78,7.17,8.73,0
Ignition Coil,58132.17,85.88,3.25,2
Gearbox,11160.64,2.26,16.59,2
Front Brake Pad,56428.66,25.06,3.68,2
Ignition Coil,164738.47,47.77,2.88,2
Front Brake Pad,48235.22,23.77,2.52,2
Gearbox Filter,66410.72,39.91,64.23,2
Rear Brake Pad,4294.45,30.57,1.43,2
Front Brake Pad,971.56,4.18,0.41,2
Spark Plug,37369.6,70.52,1.31,2
Ignition Coil,137405.6,87.15,4.16,2
Front Brake Pad,29284.99,14.35,5.54,0
Gearbox Filter,79801.23,18.78,1.61,2
CVT/AT Oil,30188.18,46.25,79.04,2
Gearbox,9237.77,8.5,84.98,2
Gearbox,8786.63,8.46,51.79,2
Ignition Coil,103206.07,13.88,9.73,2
CVT/AT Oil,56487.89,20.85,115.34,2
Ignition Coil,37203.18,29.59,2.58,0
Front Brake Pad,1229.97,3.4,6.15,0
Spark Plug,78686.72,27.75,5.11,2
Front Brake Pad,54976.62,10.15,1.06,2
Gearbox Filter,31350.29,67.44,4.11,2
Spark Plug,96417.71,20.31,1.33,2
Spark Plug,68222.43,41.47,5.49,2
Gearbox,5580.27,6.99,30.67,2
Front Brake Pad,37926.0,8.59,6.12,0
Rear Brake Pad,67908.86,5.57,8.12,2
Front Brake Pad,33517.88,14.03,2.68,2
CVT/AT Oil,23352.1,0.59,108.65,0
Gearbox,5323.58,8.61,60.91,2
Gearbox,8601.57,5.69,40.36,1
CVT/AT Oil,36146.46,29.9,25.53,2
Gearbox Filter,71242.11,56.85,9.58,2
Ignition Coil,175364.68,107.56,0.67,2
CVT/AT Oil,53262.25,18.95,14.05,2
Gearbox,10320.45,7.53,78.02,2
Front Brake Pad,5677.21,25.23,0.65,2
Ignition Coil,160541.44,15.83,6.16,2
Front Brake Pad,66598.17,13.47,3.34,2
Gearbox,3550.28,8.17,53.27,2
Gearbox,5643.89,0.75,69.94,2
Front Brake Pad,47593.19,8.95,2.97,2
Front Brake Pad,33252.19,0.41,4.22,0
Ignition Coil,133375.29,82.86,9.87,2
Rear Brake Pad,67144.04,31.5,8.66,2
Rear Brake Pad,42994.34,4.48,4.76,0
Gearbox Filter,86690.03,0.88,101.84,2
Gearbox Filter,29041.77,3.12,97.09,2
Gearbox,1106.95,4.98,87.24,2
Ignition Coil,29918.78,23.42,3.53,0
Spark Plug,75306.97,42.07,6.76,2
Spark Plug,109830.52,69.03,0.43,2
Front Brake Pad,30756.83,22.32,2.5,2
Gearbox,9702.73,3.49,20.65,1
Gearbox,1166.02,8.77,88.76,2
Front Brake Pad,2181.33,10.07,3.7,0
Gearbox Filter,61625.81,11.71,95.65,2
Gearbox Filter,84647.86,30.0,61.02,2
Spark Plug,50189.16,67.16,6.5,2
Gearbox Filter,14835.08,29.61,81.65,2
Ignition Coil,177709.7,16.25,7.13,2
Rear Brake Pad,35369.05,44.77,5.12,2
Spark Plug,56243.18,29.87,2.05,0
Rear Brake Pad,77825.01,43.9,9.0,2
Front Brake Pad,61638.69,21.07,6.54,2
Ignition Coil,152936.53,26.71,5.41,2
Front Brake Pad,16972.36,9.89,1.87,2
Spark Plug,80604.08,44.51,2.69,2
Rear Brake Pad,60441.59,28.1,6.95,2
